Trigger Time,Type,Sigma,Normalised Duration,Max Count,source
1042489949,,-1.0,,-1.0,integral
1042490303,,-1.0,,-1.0,integral
1042490322,,-1.0,,-1.0,integral
1042490445,,-1.0,,-1.0,integral
1042491368,,-1.0,,-1.0,integral
1042546164,,-1.0,,-1.0,integral
1042554136,,-1.0,,-1.0,integral
1042567388,,-1.0,,-1.0,integral
1042578868,,-1.0,,-1.0,integral
1042580600,,-1.0,,-1.0,integral
1042582934,,-1.0,,-1.0,integral
1042595871,,-1.0,,-1.0,integral
1042600954,,-1.0,,-1.0,integral
1042611849,,-1.0,,-1.0,integral
1042611869,,-1.0,,-1.0,integral
1042618519,,-1.0,,-1.0,integral
1042618539,,-1.0,,-1.0,integral
1042623545,,-1.0,,-1.0,integral
1042624800,,-1.0,,-1.0,integral
1042630405,,-1.0,,-1.0,integral
1042630789,,-1.0,,-1.0,integral
1042631713,,-1.0,,-1.0,integral
1042633479,,-1.0,,-1.0,integral
1042634657,,-1.0,,-1.0,integral
1042681281,,-1.0,,-1.0,integral
1042691916,,-1.0,,-1.0,integral
1042700686,,-1.0,,-1.0,integral
1042703657,,-1.0,,-1.0,integral
1042706655,,-1.0,,-1.0,integral
1042707265,,-1.0,,-1.0,integral
1042720705,,-1.0,,-1.0,integral
1042722898,,-1.0,,-1.0,integral
1042739460,,-1.0,,-1.0,integral
1042742709,,-1.0,,-1.0,integral
1042748454,,-1.0,,-1.0,integral
1042749008,,-1.0,,-1.0,integral
1042749378,,-1.0,,-1.0,integral
1042749608,,-1.0,,-1.0,integral
1042749720,,-1.0,,-1.0,integral
1042749739,,-1.0,,-1.0,integral
1042749896,,-1.0,,-1.0,integral
1042795242,,-1.0,,-1.0,integral
1042812182,,-1.0,,-1.0,integral
1042823134,,-1.0,,-1.0,integral
1042824974,,-1.0,,-1.0,integral
1042825622,,-1.0,,-1.0,integral
1042846512,,-1.0,,-1.0,integral
1042851912,,-1.0,,-1.0,integral
1042855815,,-1.0,,-1.0,integral
1042861537,,-1.0,,-1.0,integral
1042876917,,-1.0,,-1.0,integral
1042880084,,-1.0,,-1.0,integral
1042882265,,-1.0,,-1.0,integral
1042886231,,-1.0,,-1.0,integral
1042905748,,-1.0,,-1.0,integral
1042917475,,-1.0,,-1.0,integral
1042918052,,-1.0,,-1.0,integral
1042920685,,-1.0,,-1.0,integral
1042932096,,-1.0,,-1.0,integral
1042936883,,-1.0,,-1.0,integral
1042937711,,-1.0,,-1.0,integral
1042939397,,-1.0,,-1.0,integral
1042940025,,-1.0,,-1.0,integral
1042956982,,-1.0,,-1.0,integral
1042963400,,-1.0,,-1.0,integral
1042964157,,-1.0,,-1.0,integral
1042967578,,-1.0,,-1.0,integral
1042971358,,-1.0,,-1.0,integral
1042972141,,-1.0,,-1.0,integral
1042972400,,-1.0,,-1.0,integral
1042973655,,-1.0,,-1.0,integral
1042978913,,-1.0,,-1.0,integral
1042984722,,-1.0,,-1.0,integral
1042987347,,-1.0,,-1.0,integral
1042992646,,-1.0,,-1.0,integral
1042992971,,-1.0,,-1.0,integral
1043003292,,-1.0,,-1.0,integral
1043005959,,-1.0,,-1.0,integral
1043008913,,-1.0,,-1.0,integral
1043009223,,-1.0,,-1.0,integral
1043009645,,-1.0,,-1.0,integral
1043047871,,-1.0,,-1.0,integral
1043051118,,-1.0,,-1.0,integral
1043063944,,-1.0,,-1.0,integral
1043076955,,-1.0,,-1.0,integral
1043080217,,-1.0,,-1.0,integral
1043084721,,-1.0,,-1.0,integral
1043100591,,-1.0,,-1.0,integral
1043101688,,-1.0,,-1.0,integral
1043102198,,-1.0,,-1.0,integral
1043102207,,-1.0,,-1.0,integral
1043102702,,-1.0,,-1.0,integral
1043103861,,-1.0,,-1.0,integral
1043104275,,-1.0,,-1.0,integral
1043106839,,-1.0,,-1.0,integral
1043110700,,-1.0,,-1.0,integral
1043110944,,-1.0,,-1.0,integral
1043111410,,-1.0,,-1.0,integral
1043112087,,-1.0,,-1.0,integral
1043120791,,-1.0,,-1.0,integral
1043123562,,-1.0,,-1.0,integral
1043129261,,-1.0,,-1.0,integral
1043132093,,-1.0,,-1.0,integral
1043142790,,-1.0,,-1.0,integral
1043160388,,-1.0,,-1.0,integral
1043170145,,-1.0,,-1.0,integral
1043193062,,-1.0,,-1.0,integral
1043198651,,-1.0,,-1.0,integral
1043209937,,-1.0,,-1.0,integral
1043211090,,-1.0,,-1.0,integral
1043214455,,-1.0,,-1.0,integral
1043231162,,-1.0,,-1.0,integral
1043243225,,-1.0,,-1.0,integral
1043249572,,-1.0,,-1.0,integral
1043261559,,-1.0,,-1.0,integral
1043304740,,-1.0,,-1.0,integral
1043312041,,-1.0,,-1.0,integral
1043317880,,-1.0,,-1.0,integral
1043332585,,-1.0,,-1.0,integral
1043333061,,-1.0,,-1.0,integral
1043333070,,-1.0,,-1.0,integral
1043333567,,-1.0,,-1.0,integral
1043334025,,-1.0,,-1.0,integral
1043337352,,-1.0,,-1.0,integral
1043337625,,-1.0,,-1.0,integral
1043337655,,-1.0,,-1.0,integral
1043338493,,-1.0,,-1.0,integral
1043340356,,-1.0,,-1.0,integral
1043342703,,-1.0,,-1.0,integral
1043343486,,-1.0,,-1.0,integral
1043352212,,-1.0,,-1.0,integral
1043357052,,-1.0,,-1.0,integral
1043358318,,-1.0,,-1.0,integral
1043358446,,-1.0,,-1.0,integral
1043358465,,-1.0,,-1.0,integral
1043358600,,-1.0,,-1.0,integral
1043358810,,-1.0,,-1.0,integral
1043359913,,-1.0,,-1.0,integral
1043360116,,-1.0,,-1.0,integral
1043360233,,-1.0,,-1.0,integral
1043360500,,-1.0,,-1.0,integral
