name,ra,dec,lii,bii,error_radius,time,end_time,Trigger Time,trigger_type,reliability,trigger_timescale,trigger_algorithm,channel_low,channel_high,adc_low,adc_high,detector_mask,geo_long,geo_lat,ra_scx,dec_scx,ra_scz,dec_scz,theta,phi,localization_source
TGF231018389,234.55,-77.2,311.8103,-17.3022,29.8,1697613445.97767,1697614060.389586,1697613578.124127,TGF,1.0,16,119,5,7,1353,4095,11,283.0833,7.4,208.0901,-5.8258,113.637,-37.2701,60.0033,290.006,"Fermi, GBM"
TGF160501904,83.1,-77.1333,288.8152,-30.7662,28.2333,1462131570.354272,1462132184.764378,1462131708.596452,TGF,1.0,16,118,5,7,1353,4095,1001001,99.6333,1.6667,42.6041,9.8511,294.9864,60.1557,160.001,270.009,"Fermi, GBM"
TGF180622923,342.75,-77.1167,311.0963,-38.0367,30.1,1529698013.557792,1529698431.356813,1529698152.728029,TGF,1.0,16,116,5,7,1353,4095,1000000100011,282.4333,6.8167,85.7502,16.2514,196.0512,49.964,150.0,130.0,"Fermi, GBM FSW"
TGF130510430,284.8,-77.0667,317.4477,-26.8182,38.2,1368173860.219704,1368174474.628522,1368173994.173473,TGF,1.0,16,116,5,7,1353,4095,10000000001011,106.0167,13.35,29.5373,-13.4684,97.7245,57.1966,160.0,60.0,"Fermi, GBM FSW"
TGF091211599,248.1667,-76.9833,314.2464,-19.2792,50.0,1260537632.908192,1260538247.318901,1260537769.438492,TGF,1.0,16,119,5,7,1353,4095,0,,,219.2888,37.8702,91.2709,38.3799,,,"Fermi, GBM FSW"
TGF161213977,154.1833,-76.9667,294.4704,-16.7111,30.9,1481667871.040154,1481668066.627385,1481668009.986372,TGF,1.0,16,117,5,7,1353,4095,110000000010,289.4333,-0.2833,240.7438,-1.7265000000000001,332.6636,-48.0213,55.0,87.0,"Fermi, GBM FSW"
TGF120602615,187.833,-76.35,301.7134,-13.5258,26.5833,1338640981.586252,1338641587.803483,1338641112.788115,TGF,1.0,16,116,5,7,1353,4095,10000000010001,277.033,17.25,78.1374,9.6826,330.3453,60.8218,160.008,224.979,"Fermi, GBM"
TGF210503456,167.8833,-76.3167,297.0073,-14.6077,30.3333,1620032090.612353,1620032705.024873,1620032227.638969,TGF,1.0,16,118,5,7,1353,4095,11001,67.25,5.9,28.3576,22.1655,108.0302,-23.7519,60.0,127.9833,"Fermi, GBM FSW"
TGF131128714,332.017,-76.2833,314.137,-37.0585,34.7833,1385654785.876215,1385655400.286722,1385654920.774336,TGF,1.0,16,117,5,7,1353,4095,1111100000010,20.7167,2.4333,225.0854,-5.2417,319.7742,-41.7016,34.986,88.0025,"Fermi, GBM"
TGF180907966,21.45,-75.7833,300.1391,-41.1581,26.65,1536354544.893859,1536355159.305413,1536354681.040294,TGF,1.0,16,119,5,7,1353,4095,11,268.6167,19.55,170.3167,3.85,258.2355,-28.3534,70.0,107.0,"Fermi, GBM FSW"
TGF160902121,199.7,-75.7167,304.6597,-12.9368,29.1667,1472777545.662493,1472778160.073362,1472777678.624676,TGF,1.0,16,119,5,7,1353,4095,11,256.1667,22.8833,163.4729,16.7366,309.5733,70.0848,160.0,105.0,"Fermi, GBM FSW"
TGF201125415,359.15,-75.7167,307.371,-40.9354,25.1333,1606294491.247648,1606295105.660328,1606294627.186359,TGF,1.0,16,118,5,7,1353,4095,1110001,252.7667,10.6,237.2949,-24.2946,129.0377,-34.7613,65.0,288.0,"Fermi, GBM FSW"
TGF121206588,190.2833,-75.5667,302.2739,-12.7081,33.3667,1354799095.476061,1354799709.887373,1354799229.574469,TGF,1.0,16,116,5,7,1353,4095,101000010,120.483,-8.833,252.5634,-37.8766,79.1215,-51.941,45.0,14.0,"Fermi, GBM FSW"
TGF180220385,191.1,-75.3167,302.4753,-12.4512,27.0833,1519114301.367711,1519114915.779385,1519114439.13019,TGF,1.0,16,118,5,7,1353,4095,1100001,142.05,-18.2333,336.3012,-17.1724,103.4751,-62.9135,30.0,80.0,"Fermi, GBM FSW"
TGF220924352,38.6333,-75.2833,294.6242,-40.1376,22.3,1664000694.543707,1664001308.954336,1664000829.68194,TGF,1.0,16,43,5,7,1353,4095,100001101000,124.9333,17.9333,181.133,-0.3602,271.3367,-29.4825,70.0,102.0,"Fermi, GBM FSW"
TGF230801655,71.6833,-74.5,286.8777,-34.2304,22.9,1690897289.897338,1690897896.117747,1690897421.179949,TGF,1.0,16,116,5,7,1353,4095,1000000100010,137.9833,24.9667,131.6815,15.5344,310.115,74.4601,164.997,240.018,"Fermi, GBM"
