Top,Flux,Region,Start,Trigger Time,Links,
15,X1.29,8307,903830220,903744540,903744960,https://www.spaceweatherlive.com/en/archive/1998/08/22/xray.html
16,X1.21,8375,910292400,910295700,910296720,https://www.spaceweatherlive.com/en/archive/1998/11/05/xray.html
17,X1.15,8415,914001180,914001720,914002020,https://www.spaceweatherlive.com/en/archive/1998/12/18/xray.html
18,X1.05,8210,894683040,894685200,894686100,https://www.spaceweatherlive.com/en/archive/1998/05/09/xray.html
19,M9.96,8340,906532800,906534780,906535860,https://www.spaceweatherlive.com/en/archive/1998/09/23/xray.html
20,M9.27,8210,893865960,893867820,893869140,https://www.spaceweatherlive.com/en/archive/1998/04/29/xray.html
21,M9.14,8226,896403060,896403540,896403780,https://www.spaceweatherlive.com/en/archive/1998/05/29/xray.html
22,M6.36,8270,900420660,900421140,900421380,https://www.spaceweatherlive.com/en/archive/1998/07/14/xray.html
23,M5.4,8375,910290120,910290300,910290420,https://www.spaceweatherlive.com/en/archive/1998/11/05/xray.html
24,M5.29,8220,894805980,894806400,894806580,https://www.spaceweatherlive.com/en/archive/1998/05/10/xray.html
25,M5.04,-,906965340,906965640,906965820,https://www.spaceweatherlive.com/en/archive/1998/09/28/xray.html
26,M4.8,8299,902682540,902683080,902683380,https://www.spaceweatherlive.com/en/archive/1998/08/09/xray.html
27,M4.59,-,913880400,913880700,913880940,https://www.spaceweatherlive.com/en/archive/1998/12/17/xray.html
28,M4.54,-,903289020,903291660,903293940,https://www.spaceweatherlive.com/en/archive/1998/08/16/xray.html
29,M4.53,-,911818740,911820060,911821200,https://www.spaceweatherlive.com/en/archive/1998/11/23/xray.html
30,M4.47,-,914823900,914824080,914824740,https://www.spaceweatherlive.com/en/archive/1998/12/28/xray.html
31,M4.44,8293,903082740,903083280,903083520,https://www.spaceweatherlive.com/en/archive/1998/08/14/xray.html
32,M4.34,8307,903535440,903536760,903537840,https://www.spaceweatherlive.com/en/archive/1998/08/19/xray.html
33,M4.31,-,894592140,894593040,894593820,https://www.spaceweatherlive.com/en/archive/1998/05/08/xray.html
