TGF Name,Ra,Dec,Start Time Observation,End Time Observation,Trigger Time,reliability,GeoLon,GeoLat,Normalised Duration,source
TGF160311670,133.5167,-80.7833,1457708575.661355,1457709190.071782,1457708710.767522,1.0,26.9833,5.75,614.4104270935059,fermi_tgf
TGF111121424,276.0667,-80.5667,1321866534.439494,1321867148.84968,1321866671.097614,1.0,132.717,-18.283,614.4101860523224,fermi_tgf
TGF161014981,207.2833,-80.2833,1476480593.307567,1476481207.718879,1476480727.181956,1.0,275.45,22.5333,614.4113121032715,fermi_tgf
TGF120605851,68.8167,-80.1667,1338920560.36254,1338921174.770714,1338920698.860361,1.0,107.033,25.117,614.4081740379333,fermi_tgf
TGF120312139,194.2333,-79.3833,1331518650.101808,1331519264.510585,1331518787.591587,1.0,63.317,-7.433,614.4087769985199,fermi_tgf
TGF220904222,18.6667,-79.25,1662261466.986139,1662262081.396003,1662261600.124222,1.0,297.0,4.9167,614.409863948822,fermi_tgf
TGF180814995,203.2167,-79.05,1534283434.069616,1534284048.478433,1534283570.919447,1.0,83.4333,18.9833,614.4088168144226,fermi_tgf
TGF240221917,116.117,-78.6833,1708549058.75203,1708549673.165636,1708549190.562822,1.0,340.6333,2.3667,614.4136061668396,fermi_tgf
TGF100927599,41.4167,-78.65,1285590061.838029,1285590676.249744,1285590194.560343,1.0,14.183,8.6,614.4117150306702,fermi_tgf
TGF211106362,89.2167,-77.9667,1636184347.310919,1636184543.922526,1636184481.585346,1.0,163.9,25.4167,196.61160683631897,fermi_tgf
TGF101230452,354.8667,-77.95,1293702501.204126,1293703115.613507,1293702638.150114,1.0,280.65,9.567,614.4093811511993,fermi_tgf
TGF170316801,105.75,-77.7333,1489687872.418146,1489688486.82805,1489688007.540326,1.0,128.85,-17.15,614.4099040031433,fermi_tgf
TGF211201765,301.0667,-77.5833,1638379154.48543,1638379768.896581,1638379291.095833,1.0,114.85,12.2,614.411150932312,fermi_tgf
TGF140603720,320.0,-77.5167,1401808503.50837,1401809117.918636,1401808642.310554,1.0,10.3667,1.1167,614.410266160965,fermi_tgf
TGF120809447,216.65,-77.3167,1344501695.513709,1344501834.075782,1344501833.723782,1.0,137.983,24.8,138.56207299232483,fermi_tgf
TGF150413702,2.0,-77.2833,1428936510.654366,1428936772.802854,1428936647.344713,1.0,95.5,1.9,262.1484880447388,fermi_tgf
TGF231018389,234.55,-77.2,1697613445.97767,1697614060.389586,1697613578.124127,1.0,283.0833,7.4,614.4119160175323,fermi_tgf
TGF160501904,83.1,-77.1333,1462131570.354272,1462132184.764378,1462131708.596452,1.0,99.6333,1.6667,614.4101061820984,fermi_tgf
TGF180622923,342.75,-77.1167,1529698013.557792,1529698431.356813,1529698152.728029,1.0,282.4333,6.8167,417.7990210056305,fermi_tgf
TGF130510430,284.8,-77.0667,1368173860.219704,1368174474.628522,1368173994.173473,1.0,106.0167,13.35,614.4088180065155,fermi_tgf
TGF091211599,248.1667,-76.9833,1260537632.908192,1260538247.318901,1260537769.438492,1.0,,,614.4107091426849,fermi_tgf
TGF161213977,154.1833,-76.9667,1481667871.040154,1481668066.627385,1481668009.986372,1.0,289.4333,-0.2833,195.58723092079163,fermi_tgf
TGF120602615,187.833,-76.35,1338640981.586252,1338641587.803483,1338641112.788115,1.0,277.033,17.25,606.2172310352325,fermi_tgf
TGF210503456,167.8833,-76.3167,1620032090.612353,1620032705.024873,1620032227.638969,1.0,67.25,5.9,614.4125199317932,fermi_tgf
TGF131128714,332.017,-76.2833,1385654785.876215,1385655400.286722,1385654920.774336,1.0,20.7167,2.4333,614.4105069637299,fermi_tgf
TGF180907966,21.45,-75.7833,1536354544.893859,1536355159.305413,1536354681.040294,1.0,268.6167,19.55,614.4115540981293,fermi_tgf
