GRB Name;Trigger Time;BAT Ra;BAT Dec;BAT T90;BAT Fluence;XRTSpectral Index;Ra;Dec;Normalised Duration;source
131122A;1385151901.0;152.555310:10:13.3;57.739857:44:23.3;;;1.80504;152.657;58.317;;swift
131120A;1384954676.0;278.93718:35:44.9;-12.026-12:01:33.6;131;5.7+/-1.5;;279.123;-12.146;131;swift
131117A;1384644844.0;332.35422:09:25;-31.761-31:45:39.6;11.00;2.5+/-0.4;2.15896;332.576;-32.079;11.00;swift
131110A;1384080791.0;69.26804:37:04.3;-17.259-17:15:32.4;~100;35.3+/-1.0;;69.314;-17.432;~100;swift
131108A;1383939715.0;156.4710:25:52.8;9.9009:54:00;;;2.06464;156.574;9.999;;swift
131105A;1383613484.0;70.97304:43:53.5;-63.005-63:00:18;112.3;71+/-5;2.24976;71.02;-63.635;112.3;swift
131103A;1383512845.0;348.94823:15:47.5;-44.645-44:38:42;17.3;8.2+/-1.0;2.1927;349.181;-45.091;17.3;swift
131031A;1383215611.0;29.61801:58:28.3;-1.603-01:36:10.8;;;1.67764;29.638;-1.619;;swift
131030A;1383162978.0;345.07423:00:17.8;-5.380-05:22:48;41.1;290;2.09466;345.304;-5.434;41.1;swift
131024B;1382643331.0;144.46409:37:51.4;44.28444:17:02.4;64.00;12+/-2;1.8329;144.56;44.727;64.00;swift
131024A;1382610380.0;290.54419:22:10.6;-64.599-64:35:56.4;112.00;12+/-1;2.02387;290.738;-65.245;112.00;swift
131018B;1382105319.0;304.4120:17:38.4;23.1123:06:36;;;;304.613;23.341;;swift
131018A;1382093268.0;98.47306:33:53.5;-19.897-19:53:49.2;73.22;11+/-1;2.18813;98.539;-20.096;73.22;swift
131014A;1381720140.0;101.906:47:36;-20.0-20:00:00;;;2.20057;101.968;-20.2;;swift
131011A;1381506454.0;;;;;1.5;;;;swift
131004A;1380915663.0;296.10819:44:25.9;-2.952-02:57:07.2;1.54;2.8+/-0.2;2.21436;296.305;-2.982;1.54;swift
