GRB Name;Trigger Time;BAT Ra;BAT Dec;BAT T90;BAT Fluence;XRTSpectral Index;Ra;Dec;Normalised Duration;source
180721A;1532164008.0;347.70823:10:49.9;4.87104:52:15.6;47.6;5.9+/-0.9;2.13857;347.94;4.92;47.6;swift
180720C;1532118237.0;265.65517:42:37.2;-26.634-26:38:02.4;124.2;24+/-2;2.07213;265.832;-26.9;124.2;swift
180720B;1532089304.0;0.52800:02:06.7;-2.925-02:55:30;;860+/-10;1.8461;0.528;-2.954;;swift
180718A;1531871865.0;336.01922:24:04.6;2.79002:47:24;0.08;;;336.243;2.818;0.08;swift
180715A;1531670825.0;235.08515:40:20.4;-0.899-00:53:56.4;0.68;1.3+/-0.2;;235.242;-0.908;0.68;swift
180709A;1531126320.0;38.08602:32:20.6;60.33360:19:58.8;215.1;14+/-2;1.66238;38.111;60.936;215.1;swift
180706A;1530858280.0;181.68712:06:44.9;66.04466:02:38.4;42.7;24+/-1;2.09151;181.808;66.704;42.7;swift
180705A;1530798074.0;212.60514:10:25.2;-11.640-11:38:24;123.2;20+/-3;1.99022;212.747;-11.756;123.2;swift
180704A;1530675402.0;32.60502:10:25.2;69.96569:57:54;19.7;62+/-4;1.93943;32.627;70.665;19.7;swift
180703A;1530644500.0;6.5400:26:09.6;-67.1-67:06:00;;;1.43489;6.544;-67.771;;swift
180630A;1530349911.0;48.88503:15:32.4;-87.476-87:28:33.6;18.85;18+/-1;1.64932;48.918;-88.351;18.85;swift
180626A;1529994076.0;243.56916:14:16.6;14.75914:45:32.4;30.07;48+/-2;2.03488;243.731;14.907;30.07;swift
180624A;1529840980.0;318.09621:12:23;-2.356-02:21:21.6;486.4;58+/-3;2.06008;318.308;-2.38;486.4;swift
180623A;1529764916.0;214.52814:18:06.7;-60.268-60:16:04.8;114.9;120+/-2;2.0656;214.671;-60.871;114.9;swift
180620B;1529502637.0;357.51423:50:03.4;-57.954-57:57:14.4;198.8;100+/-3;1.99236;357.752;-58.534;198.8;swift
180620A;1529476498.0;279.89018:39:33.6;23.23923:14:20.4;23.16;58+/-2;1.45672;280.077;23.471;23.16;swift
180618A;1529275393.0;169.94811:19:47.5;73.82573:49:30;47.4;6.7+/-1.0;2.24801;170.061;74.563;47.4;swift
180614A;1528996573.0;3.07300:12:17.5;46.96946:58:08.4;7.04;2.1+/-0.3;2.73639;3.075;47.439;7.04;swift
180613A;1528896978.0;211.54514:06:10.8;-43.082-43:04:55.2;50.8;;1.47991;211.686;-43.513;50.8;swift
180602A;1527920090.0;142.34309:29:22.3;32.08032:04:48;45.4;16+/-1;2.03795;142.438;32.401;45.4;swift
180514A;1526297133.0;197.38213:09:31.7;36.97036:58:12;46.9;10+/-1;1.83771;197.514;37.34;46.9;swift
180512A;1526155307.0;201.94013:27:45.6;21.40421:24:14.4;24.0;4.2+/-0.7;2.46076;202.075;21.618;24.0;swift
180510B;1525976142.0;77.96505:11:51.6;-62.320-62:19:12;134.3;21+/-2;1.82841;78.017;-62.943;134.3;swift
180510A;1525973074.0;276.33518:25:20.4;-31.917-31:55:01.2;40.4;62+/-2;2.01421;276.519;-32.236;40.4;swift
180504A;1525455973.0;331.14422:04:34.6;-14.665-14:39:54;88.3;22+/-2;1.93676;331.365;-14.812;88.3;swift
180425A;1524631581.0;64.45004:17:48;-32.949-32:56:56.4;11.2;11+/-1;2.00413;64.493;-33.278;11.2;swift
180418A;1524026646.0;170.13211:20:31.7;24.92524:55:30;2.29;3.2+/-0.2;2.01709;170.245;25.174;2.29;swift
180411A;1523442463.0;356.84023:47:21.6;66.79066:47:24;77.5;120;1.95526;357.078;67.458;77.5;swift
180410A;1523340179.0;95.97406:23:53.8;12.80412:48:14.4;100.7;22+/-2;1.44922;96.038;12.932;100.7;swift
180409A;1523224800.0;;;;;1.77269;;;;swift
180407A;1523058889.0;35.23602:20:56.6;33.51333:30:46.8;95.9;14+/-2;;35.259;33.848;95.9;swift
180404B;1522800704.0;53.39003:33:33.6;-50.213-50:12:46.8;111.5;120+/-2;2.06438;53.426;-50.715;111.5;swift
180404A;1522795535.0;83.54005:34:09.6;-37.168-37:10:04.8;35.2;13+/-1;1.62007;83.596;-37.54;35.2;swift
180402A;1522655099.0;251.92316:47:41.5;-14.928-14:55:40.8;0.18;1.4+/-0.2;1.45533;252.091;-15.077;0.18;swift
180331B;1522503519.0;196.78113:07:07.4;61.73561:44:06;147.0;19+/-2;1.84737;196.912;62.352;147.0;swift
180331A;1522462495.0;66.00504:24:01.2;13.38613:23:09.6;48.0;6.1+/-1.0;1.35;66.049;13.52;48.0;swift
180329B;1522325303.0;82.90505:31:37.2;-23.694-23:41:38.4;210.0;33+/-3;1.86768;82.96;-23.931;210.0;swift
180329A;1522277880.0;329.31421:57:15.4;-15.043-15:02:34.8;9.1;2.3+/-0.4;;329.534;-15.193;9.1;swift
180325A;1521939182.0;157.41610:29:39.8;24.46124:27:39.6;94.1;65+/-2;1.85846;157.521;24.706;94.1;swift
180324A;1521862629.0;76.58105:06:19.4;56.74456:44:38.4;7.2;5.6+/-0.5;1.3588;76.632;57.311;7.2;swift
180316A;1521172645.0;265.42217:41:41.3;0.73700:44:13.2;87.0;49+/-4;2.03262;265.599;0.744;87.0;swift
180314B;1521062616.0;297.85519:51:25.2;23.63423:38:02.4;73.0;9.6+/-1.4;2.50007;298.054;23.87;73.0;swift
180314A;1520984611.0;99.20806:36:49.9;-24.530-24:31:48;51.2;110+/-4;1.76908;99.274;-24.775;51.2;swift
180311A;1520787829.0;3.37900:13:31;-54.491-54:29:27.6;23.0;3.3+/-0.7;2.06687;3.381;-55.036;23.0;swift
180305A;1520238368.0;49.703:18:48;32.132:06:00;;;1.49028;49.733;32.421;;swift
180224A;1519507267.0;202.67513:30:42;38.07338:04:22.8;10.9;4.7+/-0.5;1.65422;202.81;38.454;10.9;swift
180222A;1519301403.0;256.53717:06:08.9;-36.819-36:49:08.4;64.0;7.9+/-1.0;1.67949;256.708;-37.187;64.0;swift
180210A;1518261878.0;3.3300:13:19.2;21.0121:00:36;;;2.34283;3.332;21.22;;swift
180205A;1517801129.0;126.81908:27:16.6;11.53611:32:09.6;15.5;10+/-1;1.88733;126.904;11.651;15.5;swift
180204A;1517708176.0;330.12322:00:29.5;30.85230:51:07.2;1.16;4.8+/-0.3;1.99449;330.343;31.161;1.16;swift
180115A;1515986163.0;12.04000:48:09.6;-15.632-15:37:55.2;40.9;7.6+/-1.1;1.9512;12.048;-15.788;40.9;swift
180113A;1515808026.0;19.21101:16:50.6;68.68268:40:55.2;64;48+/-2;;19.224;69.369;64;swift
180111A;1515685326.0;149.78209:59:07.7;48.25448:15:14.4;50.6;102+/-2;1.67876;149.882;48.737;50.6;swift
180103A;1514938110.0;159.58510:38:20.4;-53.555-53:33:18;;;3.78707;159.691;-54.091;;swift
180102A;1514904584.0;203.07813:32:18.7;62.16162:09:39.6;10.8;3.5+/-0.4;2.29651;203.213;62.783;10.8;swift
171222A;1513956299.0;148.27309:53:05.5;35.62435:37:26.4;174.8;19+/-2;1.99001;148.372;35.98;174.8;swift
171216A;1513390019.0;212.01314:08:03.1;-50.500-50:30:00;30.0;4.8+/-1.0;1.76023;212.154;-51.005;30.0;swift
171212A;1513076241.0;293.92019:35:40.8;20.59720:35:49.2;320;34+/-3;2.06974;294.116;20.803;320;swift
171211A;1512980852.0;98.15406:32:37;-58.689-58:41:20.4;2.32;2.4+/-0.3;1.66685;98.219;-59.276;2.32;swift
171209A;1512827176.0;139.38709:17:32.9;-30.523-30:31:22.8;161.7;75+/-3;2.06813;139.48;-30.828;161.7;swift
171205A;1512454843.0;167.42311:09:41.5;-12.599-12:35:56.4;189.4;36+/-3;1.66173;167.535;-12.725;189.4;swift
171124A;1511498276.0;;;;;2.7667;;;;swift
171123A;1511442887.0;186.19812:24:47.5;32.50332:30:10.8;58.5;4.8+/-1.0;2.2649;186.322;32.828;58.5;swift
171120A;1511180402.0;163.77410:55:05.8;22.46122:27:39.6;64;86+/-3;1.91761;163.883;22.686;64;swift
171115A;1510768280.0;278.39218:33:34.1;9.11809:07:04.8;38.2;6.9+/-0.8;2.0905;278.578;9.209;38.2;swift
171103A;1509747032.0;249.51016:38:02.4;-10.206-10:12:21.6;3.90;3.8+/-0.4;;249.676;-10.308;3.90;swift
171102B;1509632429.0;288.09619:12:23;22.43422:26:02.4;17.8;9.3+/-1.4;1.16802;288.288;22.658;17.8;swift
171027A;1509085386.0;61.68304:06:43.9;-2.601-02:36:03.6;96.6;75+/-2;1.99755;61.724;-2.627;96.6;swift
171020A;1508533630.0;39.26002:37:02.4;15.19915:11:56.4;41.9;12+/-1;1.69134;39.286;15.351;41.9;swift
171011A;1507739567.0;236.76615:47:03.8;-10.064-10:03:50.4;2.27;11+/-1;;236.924;-10.165;2.27;swift
171010B;1507661964.0;34.12302:16:29.5;-54.410-54:24:36;30.4;3.9+/-0.5;2.45329;34.146;-54.954;30.4;swift
171010A;1507654850.0;66.7404:26:57.6;-10.53-10:31:48;;;2.00598;66.784;-10.635;;swift
171007A;1507370258.0;135.63509:02:32.4;42.93042:55:48;105;2.9+/-1.1;1.45085;135.725;43.359;105;swift
171004A;1507096532.0;139.15009:16:36;52.68452:41:02.4;107.1;30+/-2;1.9759;139.243;53.211;107.1;swift
171001A;1506875140.0;22.08001:28:19.2;-11.928-11:55:40.8;22.8;6.4+/-0.8;2.09897;22.095;-12.047;22.8;swift
170921A;1505996928.0;26.84001:47:21.6;30.88030:52:48;28.9;6.7+/-0.8;2.76224;26.858;31.189;28.9;swift
170912B;1505190826.0;215.46414:21:51.4;-61.997-61:59:49.2;19.6;24+/-1;1.65573;215.608;-62.617;19.6;swift
170912A;1505172856.0;167.38611:09:32.6;-54.343-54:20:34.8;21.9;11+/-1;1.85301;167.498;-54.886;21.9;swift
170906C;1504675577.0;128.65908:34:38.2;70.80570:48:18;48.4;88+/-3;2.69585;128.745;71.513;48.4;swift
170906B;1504652146.0;232.22115:28:53;-28.251-28:15:03.6;;;1.80297;232.376;-28.534;;swift
170906A;1504651391.0;203.94913:35:47.8;-47.088-47:05:16.8;88.1;320;2.2266;204.085;-47.559;88.1;swift
170903A;1504435747.0;254.53216:58:07.7;34.98534:59:06;29.2;24+/-2;2.20256;254.702;35.335;29.2;swift
170827A;1503803548.0;276.18918:24:45.4;-40.202-40:12:07.2;94.0;14+/-1;2.23422;276.373;-40.604;94.0;swift
170823A;1503519408.0;188.71312:34:51.1;35.54935:32:56.4;69.4;26+/-1;;188.839;35.904;69.4;swift
170822A;1503385911.0;94.37506:17:30;55.00055:00:00;64;64+/-4;1.8366;94.438;55.55;64;swift
170813A;1502579596.0;201.05713:24:13.7;-5.527-05:31:37.2;75.5;19+/-2;1.83425;201.191;-5.582;75.5;swift
170810A;1502395301.0;187.92812:31:42.7;3.66403:39:50.4;152.4;48+/-2;1.93834;188.053;3.701;152.4;swift
170807A;1502135769.0;143.43409:33:44.2;-17.348-17:20:52.8;48.5;8.6+/-0.8;;143.53;-17.521;48.5;swift
170804A;1501840897.0;6.40400:25:37;-64.781-64:46:51.6;43.4;13+/-1;1.95661;6.408;-65.429;43.4;swift
170803A;1501774227.0;174.94711:39:47.3;-16.312-16:18:43.2;3.82;9.8+/-0.4;1.8674;175.064;-16.475;3.82;swift
170728B;1501275799.0;238.01915:52:04.6;70.11170:06:39.6;47.7;6.2+/-1.1;1.81475;238.178;70.812;47.7;swift
170728A;1501217608.0;58.90103:55:36.2;12.16912:10:08.4;1.25;0.71+/-0.14;2.21859;58.94;12.291;1.25;swift
170724A;1500850124.0;150.05710:00:13.7;-1.025-01:01:30;98.0;11+/-2;;150.157;-1.035;98.0;swift
170714A;1500027932.0;34.32202:17:17.3;1.96201:57:43.2;;28+/-3;1.84715;34.345;1.982;;swift
170711A;1499804425.0;45.78203:03:07.7;47.84547:50:42;31.3;14+/-1;2.11428;45.813;48.323;31.3;swift
170710B;1499667006.0;43.12202:52:29.3;42.67942:40:44.4;54.4;24+/-1;;43.151;43.106;54.4;swift
170710A;1499640344.0;231.85115:27:24.2;-38.523-38:31:22.8;32.6;7.4+/-1.7;1.99079;232.006;-38.908;32.6;swift
170705A;1499215547.0;191.70812:46:49.9;18.29818:17:52.8;217.3;95+/-3;1.89159;191.836;18.481;217.3;swift
170629A;1498733613.0;129.96308:39:51.1;-46.585-46:35:06;34.4;26+/-2;1.75195;130.05;-47.051;34.4;swift
170626A;1498462643.0;165.40911:01:38.2;56.47956:28:44.4;12.94;82+/-2;1.72548;165.519;57.044;12.94;swift
170607A;1496870493.0;7.35800:29:25.9;9.22509:13:30;;75+/-3;1.94001;7.363;9.317;;swift
170604A;1496596130.0;342.64522:50:34.8;-15.406-15:24:21.6;26.70;51+/-4;1.79412;342.873;-15.56;26.70;swift
170531B;1496260929.0;286.90119:07:36.2;-16.414-16:24:50.4;164.13;20+/-2;2.06685;287.092;-16.578;164.13;swift
170531A;1496254052.0;121.21808:04:52.3;-14.017-14:01:01.2;26.74;7.5+/-1.2;2.24635;121.299;-14.157;26.74;swift
170526A;1495798508.0;4.72300:18:53.5;1.27701:16:37.2;7.9;1.6+/-0.4;1.90281;4.726;1.29;7.9;swift
170524B;1495615240.0;90.86406:03:27.4;-17.086-17:05:09.6;46.4;66+/-2;2.54992;90.925;-17.257;46.4;swift
170524A;1495648155.0;319.48821:17:57.1;48.60348:36:10.8;0.10;0.37+/-0.06;;319.701;49.089;0.10;swift
170522A;1495460735.0;135.4509:01:48;27.1227:07:12;;;;135.54;27.391;;swift
170519A;1495163402.0;163.42910:53:43;25.37425:22:26.4;216.4;11+/-2;1.97351;163.538;25.628;216.4;swift
170516A;1494931760.0;41.54302:46:10.3;-55.929-55:55:44.4;36.78;8.5+/-0.9;2.07912;41.571;-56.488;36.78;swift
170510A;1494385945.0;159.9110:39:38.4;-39.32-39:19:12;;;;160.017;-39.713;;swift
170428A;1493363622.0;330.05122:00:12.2;26.91326:54:46.8;0.20;2.8+/-0.2;2.97704;330.271;27.182;0.20;swift
170419B;1492630426.0;60.49404:01:58.6;-15.121-15:07:15.6;77.2;19+/-2;;60.534;-15.272;77.2;swift
170419A;1492601200.0;79.85405:19:25;-21.433-21:25:58.8;8.18;3.1+/-0.5;1.7212;79.907;-21.647;8.18;swift
170405A;1491410388.0;219.82414:39:17.8;-25.236-25:14:09.6;164.7;37+/-3;1.8473;219.971;-25.488;164.7;swift
170331A;1490917246.0;323.77821:35:06.7;-24.406-24:24:21.6;17.57;9.7+/-1.6;2.48426;323.994;-24.65;17.57;swift
170330A;1490905791.0;283.33118:53:19.4;-13.458-13:27:28.8;144.73;56+/-3;1.88868;283.52;-13.593;144.73;swift
170325A;1490425017.0;127.48308:29:55.9;20.52620:31:33.6;0.3;0.88+/-0.13;;127.568;20.731;0.3;swift
170318B;1489847272.0;284.22918:56:55;6.33506:20:06;160.0;5.5+/-1.9;2.33337;284.418;6.398;160.0;swift
170318A;1489835516.0;305.66220:22:38.9;28.40828:24:28.8;133.7;37+/-3;0.915115;305.866;28.692;133.7;swift
170317A;1489740359.0;93.08706:12:20.9;50.50050:30:00;11.94;13+/-1;2.06523;93.149;51.005;11.94;swift
170311A;1489216122.0;280.53918:42:09.4;-30.041-30:02:27.6;6.32;2.5+/-0.5;1.56873;280.726;-30.341;6.32;swift
170307A;1488914661.0;13.51000:54:02.4;9.53809:32:16.8;56.92;13+/-2;;13.519;9.633;56.92;swift
170306A;1488780372.0;263.08717:32:20.9;-44.765-44:45:54;17.8;8.3+/-1.4;2.04851;263.262;-45.213;17.8;swift
170214A;1487082866.0;255.6117:02:26.4;-5.78-05:46:48;;;;255.78;-5.838;;swift
170208B;1486589618.0;127.14508:28:34.8;-9.027-09:01:37.2;128.07;61+/-2;2.14664;127.23;-9.117;128.07;swift
170208A;1486573876.0;166.54411:06:10.6;-46.786-46:47:09.6;7.45;15+/-1;1.97057;166.655;-47.254;7.45;swift
170206B;1486414645.0;271.78418:07:08.2;11.17511:10:30;13.36;3.2+/-0.6;2.31073;271.965;11.287;13.36;swift
170205A;1486294749.0;262.15717:28:37.7;-0.058-00:03:28.8;26.1;38+/-1;1.90196;262.332;-0.059;26.1;swift
170203A;1486076621.0;332.86122:11:26.6;25.18625:11:09.6;45.2;6.2+/-1.1;;333.083;25.438;45.2;swift
170202A;1486056482.0;152.52610:10:06.2;5.02105:01:15.6;46.2;33+/-1;1.99768;152.628;5.071;46.2;swift
170131A;1485900913.0;341.44722:45:47.3;64.00664:00:21.6;;;;341.675;64.646;;swift
170127B;1485526408.0;19.99701:19:59.3;-30.340-30:20:24;0.51;1.0+/-0.2;1.56726;20.01;-30.643;0.51;swift
170127A;1485523275.0;174.38211:37:31.7;-45.827-45:49:37.2;62.26;5.2+/-1.0;2.08988;174.498;-46.285;62.26;swift
170126A;1485426642.0;263.62317:34:29.5;-64.755-64:45:18;9.5;28+/-3;1.81583;263.799;-65.403;9.5;swift
170115A;1484509808.0;332.14522:08:34.8;13.75013:45:00;48.0;4.7+/-0.8;2.3639;332.366;13.887;48.0;swift
170113A;1484298245.0;61.73504:06:56.4;-71.933-71:55:58.8;20.66;6.7+/-0.7;1.81917;61.776;-72.652;20.66;swift
170112A;1484182920.0;15.23201:00:55.7;-17.233-17:13:58.8;0.06;0.13+/-0.04;;15.242;-17.405;0.06;swift
170111A;1484091208.0;20.68801:22:45.1;-32.541-32:32:27.6;29.9;8.1+/-1.1;1.70428;20.702;-32.866;29.9;swift
170101A;1483233961.0;267.08917:48:21.4;11.64211:38:31.2;2.43;60+/-2;;267.267;11.758;2.43;swift
161224A;1482614014.0;204.82013:39:16.8;-18.028-18:01:40.8;47.04;8.2+/-1.3;;204.957;-18.208;47.04;swift
161220A;1482219210.0;350.84123:23:21.8;-47.480-47:28:48;6;1.7+/-0.3;1.9901;351.075;-47.955;6;swift
161219B;1482169719.0;91.71706:06:52.1;-26.801-26:48:03.6;6.94;15+/-1;1.86204;91.778;-27.069;6.94;swift
161218A;1482029256.0;245.25016:21:00;-4.113-04:06:46.8;7.1;67+/-1;;245.413;-4.154;7.1;swift
161217A;1481934454.0;150.65810:02:37.9;52.34452:20:38.4;18.2;1.9+/-0.4;1.8394;150.758;52.867;18.2;swift
161214B;1481732410.0;3.85700:15:25.7;7.34207:20:31.2;24.8;21+/-1;1.98842;3.86;7.415;24.8;swift
161202A;1480716772.0;356.90423:47:37;19.65219:39:07.2;;86+/-3;2.79795;357.142;19.849;;swift
161129A;1480399899.0;316.22121:04:53;32.13732:08:13.2;35.53;36+/-1;1.74506;316.432;32.458;35.53;swift
161117B;1479372583.0;298.83019:55:19.2;-67.681-67:40:51.6;152.51;60+/-2;1.98487;299.029;-68.358;152.51;swift
161117A;1479342936.0;322.05321:28:12.7;-29.612-29:36:43.2;125.7;200+/-0.0;1.92624;322.268;-29.908;125.7;swift
161113A;1479054626.0;179.79411:59:10.6;-5.316-05:18:57.6;42.60;15+/-1;2.02591;179.914;-5.369;42.60;swift
161108A;1478572353.0;180.77612:03:06.2;24.90524:54:18;105.1;11+/-1;2.00325;180.897;25.154;105.1;swift
161105A;1478317982.0;120.19808:00:47.5;-44.763-44:45:46.8;177.3;61+/-2;1.90302;120.278;-45.211;177.3;swift
161104A;1478248946.0;77.90605:11:37.4;-51.447-51:26:49.2;0.1;0.31+/-0.05;1.35561;77.958;-51.961;0.1;swift
161023A;1477255120.0;311.034220:44:08.2;-47.6614-47:39:41;;;2.03865;311.242;-48.138;;swift
161022A;1477097020.0;128.98808:35:57.1;54.36654:21:57.6;7.3;7.5+/-1.0;1.7601;129.074;54.91;7.3;swift
161017A;1476719511.0;142.77009:31:04.8;43.12543:07:30;216.3;53+/-2;1.99404;142.865;43.556;216.3;swift
161015A;1476543787.0;269.1517:56:36;30.1930:11:24;;;;269.329;30.492;;swift
161014A;1476441082.0;332.62622:10:30.2;7.46707:28:01.2;18.3;19+/-2;1.83236;332.848;7.542;18.3;swift
161011A;1476158094.0;245.68716:22:44.9;8.31308:18:46.8;4.3;2.3+/-0.4;1.86723;245.851;8.396;4.3;swift
161010A;1476099392.0;275.217818:20:52.3;-28.7868 -28:47:12.5;;;1.7845;275.401;-29.075;;swift
161007A;1475868343.0;103.40806:53:37.9;23.28923:17:20.4;201.7;13+/-2;1.74596;103.477;23.522;201.7;swift
161004B;1475615279.0;112.15607:28:37.4;-39.896-39:53:45.6;15.9;88+/-2;1.9797;112.231;-40.295;15.9;swift
161004A;1475578708.0;263.12717:32:30.5;-0.947-00:56:49.2;~1.3 to ~3;0.95+/-0.16;1.58993;263.302;-0.956;~1.3 to ~3;swift
161001A;1475276716.0;71.92304:47:41.5;-57.261-57:15:39.6;2.6;6.7+/-0.4;1.93192;71.971;-57.834;2.6;swift
160927A;1474992289.0;256.26817:05:04.3;17.33417:20:02.4;0.48;n/a1.5+/-0.2;1.7155;256.439;17.507;0.48;swift
160917A;1474104619.0;295.65219:42:36.5;46.40046:24:00;16;13+/-1;1.84117;295.849;46.864;16;swift
160912A;1473689263.0;301.59520:06:22.8;57.58557:35:06;;37+/-3;1.7957;301.796;58.161;;swift
160910A;1473520779.0;221.814:47:12;39.639:36:00;;;1.54404;221.948;39.996;;swift
160905A;1473067138.0;162.24910:48:59.8;-50.803-50:48:10.8;64;150+/-2;1.8094;162.357;-51.311;64;swift
160827A;1472305605.0;179.27411:57:05.8;-29.178-29:10:40.8;13.3;4.0+/-0.7;;179.394;-29.47;13.3;swift
160826A;1472184758.0;183.12012:12:28.8;-67.664-67:39:50.4;52.6;4.9+/-0.9;1.71695;183.242;-68.341;52.6;swift
160824A;1472073745.0;80.08705:20:20.9;40.03940:02:20.4;99.3;26+/-2;1.93678;80.14;40.439;99.3;swift
160821B;1471811353.0;280.00518:40:01.2;62.38762:23:13.2;0.48;1.0+/-0.1;2.39723;280.192;63.011;0.48;swift
160821A;1471804470.0;171.25411:25:01;42.34542:20:42;;72+/-2;;171.368;42.768;;swift
160819A;1471631255.0;114.13907:36:33.4;-22.347-22:20:49.2;;77.6+/-2.3;;114.215;-22.57;;swift
160816A;1471361458.0;322.4521:29:48;37.1637:09:36;;;1.92088;322.665;37.532;;swift
160815A;1471254311.0;288.61619:14:27.8;84.29884:17:52.8;8.6;14+/-1;1.89874;288.808;85.141;8.6;swift
160804A;1470267167.0;221.65214:46:36.5;10.00210:00:07.2;144.2;114+/-3;1.87827;221.8;10.102;144.2;swift
160801A;1470036510.0;212.76314:11:03.1;13.48513:29:06;2.85;1.7+/-0.3;2.20704;212.905;13.62;2.85;swift
160726A;1469489647.0;98.80906:35:14.2;-6.617-06:37:01.2;0.7;2.6+/-0.2;;98.875;-6.683;0.7;swift
160716A;1468624110.0;190.50212:42:00.5;-61.364-61:21:50.4;6.39;1.8+/-0.3;2.09884;190.629;-61.978;6.39;swift
160714A;1468455555.0;234.49015:37:57.6;63.80963:48:32.4;0.35;0.69+/-0.16;;234.646;64.447;0.35;swift
160712A;1468346016.0;304.16620:16:39.8;-26.965-26:57:54;;26+/-2;1.94313;304.369;-27.235;;swift
160709A;1468086543.0;235.99615:43:59;-28.188-28:11:16.8;4.8;4.5+/-0.7;;236.153;-28.47;4.8;swift
160705B;1467745327.0;168.10711:12:25.7;46.70746:42:25.2;54.4;7.3+/-1.1;2.07099;168.219;47.174;54.4;swift
160703A;1467540605.0;287.41419:09:39.4;36.91336:54:46.8;44.4;90+/-2;1.87668;287.606;37.282;44.4;swift
160630A;1467252249.0;198.23813:12:57.1;-56.029-56:01:44.4;29.50;12+/-1;1.78526;198.37;-56.589;29.50;swift
160629A;1467231570.0;4.761800:19:02.8;76.946876:56:48.5;;;1.99252;4.765;77.716;;swift
160625B;1466887404.0;308.320:33:12;6.906:54:00;;;1.82581;308.506;6.969;;swift
160625A;1466887231.0;176.93911:47:45.4;-65.142-65:08:31.2;53.9;33+/-1;2.20655;177.057;-65.793;53.9;swift
160624A;1466760421.0;330.21022:00:50.4;29.66729:40:01.2;0.2;0.40+/-0.09;1.60333;330.43;29.964;0.2;swift
160623A;1466650834.0;315.2421:00:57.6;42.2742:16:12;;;1.83864;315.45;42.693;;swift
160612A;1465755168.0;348.36423:13:27.4;-25.375-25:22:30;;1.16+/-0.12;;348.596;-25.629;;swift
160611A;1465674034.0;164.41710:57:40.1;-70.396-70:23:45.6;34.1;17+/-1;1.98476;164.527;-71.1;34.1;swift
160607A;1465290840.0;13.66100:54:38.6;-4.952-04:57:07.2;33.4;210;1.95787;13.67;-5.002;33.4;swift
160601A;1464784982.0;234.92315:39:41.5;64.53264:31:55.2;0.12;0.66+/-0.11;2.27694;235.08;65.177;0.12;swift
160525B;1464161107.0;149.43809:57:45.1;51.19751:11:49.2;0.29;0.32+/-0.08;1.90821;149.538;51.709;0.29;swift
160525A;1464132839.0;103.57506:54:18;-0.199-00:11:56.4;;1.9+/-0.7;;103.644;-0.201;;swift
160521B;1463814838.0;15610:24:00;7676:00:00;;;3.35496;156.104;76.76;;swift
160519A;1463609853.0;71.12204:44:29.3;31.24631:14:45.6;35.57;12+/-2;;71.169;31.558;35.57;swift
160509A;1462777144.0;310.120:40:24;76.076:00:00;;;2.01366;310.307;76.76;;swift
160506A;1462498155.0;265.85717:43:25.7;-46.127-46:07:37.2;254.5;15+/-2;2.1211;266.034;-46.588;254.5;swift
160504A;1462383037.0;170.07311:20:17.5;56.00256:00:07.2;53.9;7.3+/-0.9;2.00145;170.186;56.562;53.9;swift
160501A;1462056031.0;286.38919:05:33.4;-17.249-17:14:56.4;118;9.5+/-1.3;1.95142;286.58;-17.421;118;swift
160425A;1461619571.0;280.33918:41:21.4;-54.343-54:20:34.8;304.58;21+/-2;2.51113;280.526;-54.886;304.58;swift
160424A;1461491347.0;319.48221:17:55.7;-60.408-60:24:28.8;6.3;12+/-1;;319.695;-61.012;6.3;swift
160422A;1461319140.0;42.0502:48:12;-57.9-57:54:00;;;2.28386;42.078;-58.479;;swift
160419A;1461071797.0;16.41801:05:40.3;-27.341-27:20:27.6;8.8;35+/-2;;16.429;-27.614;8.8;swift
160417A;1460859821.0;120.26008:01:02.4;7.64607:38:45.6;15;5.9+/-0.8;2.03026;120.34;7.722;15;swift
160412A;1460427834.0;33.07402:12:17.8;-67.636-67:38:09.6;31.6;19+/-1;2.30285;33.096;-68.312;31.6;swift
160411A;1460330931.0;349.37023:17:28.8;-40.258-40:15:28.8;0.36;0.80+/-0.18;1.82276;349.603;-40.661;0.36;swift
160410A;1460257788.0;150.69510:02:46.8;3.46103:27:39.6;8.2;7.8+/-0.8;1.65672;150.795;3.496;8.2;swift
160409A;1460174054.0;289.70519:18:49.2;-5.390-05:23:24;;;;289.898;-5.444;;swift
160408A;1460089543.0;122.56108:10:14.6;71.12871:07:40.8;0.32;1.6+/-0.2;2.06621;122.643;71.839;0.32;swift
160327A;1459062967.0;146.69809:46:47.5;54.01854:01:04.8;28;14+/-1;1.93554;146.796;54.558;28;swift
160325A;1458885603.0;15.69701:02:47.3;-72.702-72:42:07.2;64.9;71+/-2;2.19497;15.707;-73.429;64.9;swift
160321A;1458572127.0;99.42006:37:40.8;5.75305:45:10.8;33.6;5.3+/-0.7;1.44922;99.486;5.811;33.6;swift
160314A;1457951571.0;112.76607:31:03.8;17.02417:01:26.4;8.73;2.8+/-0.4;1.95129;112.841;17.194;8.73;swift
160313A;1457833035.0;183.82112:15:17;57.27857:16:40.8;42.6;5.8+/-0.8;1.927;183.944;57.851;42.6;swift
160303A;1456998882.0;168.71011:14:50.4;22.71022:42:36;5.0;1.5+/-0.3;1.75667;168.822;22.937;5.0;swift
160228A;1456677272.0;107.31107:09:14.6;26.94626:56:45.6;98.36;20+/-1;1.62451;107.383;27.215;98.36;swift
